sales_document,sales_item,document_date,posting_date,company_code,sales_org,distribution_channel,division,plant,customer_id,product_id,quantity,uom,net_price_usd,discount_pct,net_value_usd,tax_rate,gross_value_usd,currency,status
7000000000,10,2025-03-31,2025-04-04,US00,US01,20,1,USC1,C00026,P00004,1,EA,3.99,0.14,3.43,0.07,3.67,USD,Open
7000000000,11,2025-04-06,2025-04-08,US00,US01,10,2,USC1,C00080,P00006,8,EA,4.57,0.19,29.61,0.07,31.68,USD,Open
7000000000,12,2024-09-08,2024-09-09,US00,US01,20,2,USC1,C00053,P00012,3,EA,11.35,0.05,32.35,0.07,34.61,USD,Billed
7000000001,13,2024-10-22,2024-10-23,US00,US01,20,1,USC1,C00025,P00011,1,EA,9.57,0.0,9.57,0.08,10.34,USD,Delivered
7000000001,14,2024-12-03,2024-12-03,US00,US01,10,2,USW1,C00039,P00011,3,EA,9.57,0.06,26.99,0.08,29.15,USD,Billed
7000000001,15,2024-02-22,2024-02-22,US00,US01,20,2,USW1,C00056,P00012,8,EA,11.35,0.05,86.26,0.09,94.02,USD,Open
7000000002,16,2024-08-04,2024-08-05,US00,US01,20,1,USC1,C00028,P00008,10,EA,7.1,0.02,69.58,0.09,75.84,USD,Billed
7000000002,17,2024-07-06,2024-07-07,US00,US01,20,1,USE1,C00037,P00005,5,EA,8.36,0.04,40.13,0.09,43.74,USD,Delivered
7000000002,18,2025-01-14,2025-01-15,US00,US01,10,1,USE1,C00040,P00008,8,EA,7.1,0.09,51.69,0.065,55.05,USD,Billed
7000000003,19,2025-05-07,2025-05-10,US00,US01,10,2,USW1,C00032,P00014,3,EA,7.66,0.11,20.45,0.08,22.09,USD,Delivered
7000000003,20,2024-02-10,2024-02-12,US00,US01,20,2,USW1,C00074,P00002,3,EA,1.57,0.16,3.96,0.065,4.22,USD,Billed
7000000003,21,2024-06-05,2024-06-09,US00,US01,10,2,USE1,C00019,P00015,5,EA,11.16,0.07,51.89,0.05,54.48,USD,Billed
7000000004,22,2024-01-15,2024-01-16,US00,US01,10,1,USE1,C00067,P00010,4,EA,11.67,0.08,42.95,0.08,46.39,USD,Open
7000000004,23,2024-03-05,2024-03-07,US00,US01,20,2,USC1,C00018,P00013,1,EA,10.86,0.06,10.21,0.08,11.03,USD,Delivered
7000000004,24,2025-06-04,2025-06-06,US00,US01,20,1,USC1,C00065,P00003,1,EA,11.02,0.0,11.02,0.08,11.9,USD,Open
7000000005,25,2024-12-09,2024-12-10,US00,US01,10,2,USC1,C00058,P00012,4,EA,11.35,0.08,41.77,0.07,44.69,USD,Open
7000000005,26,2024-05-08,2024-05-09,US00,US01,20,1,USC1,C00031,P00005,6,EA,8.36,0.04,48.15,0.07,51.52,USD,Open
7000000005,27,2025-10-09,2025-10-13,US00,US01,20,2,USC1,C00031,P00008,6,EA,7.1,0.04,40.9,0.07,43.76,USD,Billed
7000000006,28,2025-04-16,2025-04-19,US00,US01,10,2,USC1,C00018,P00010,20,EA,11.67,0.08,214.73,0.065,228.69,USD,Billed
7000000006,29,2024-03-03,2024-03-05,US00,US01,20,2,USW1,C00028,P00013,10,EA,10.86,0.08,99.91,0.05,104.91,USD,Delivered
7000000006,30,2024-05-18,2024-05-18,US00,US01,10,1,USW1,C00060,P00014,20,EA,7.66,0.06,144.01,0.08,155.53,USD,Open
7000000007,31,2025-05-13,2025-05-14,US00,US01,20,2,USE1,C00075,P00013,8,EA,10.86,0.04,83.4,0.05,87.57,USD,Open
7000000007,32,2025-08-15,2025-08-16,US00,US01,20,1,USW1,C00039,P00009,1,EA,3.2,0.08,2.94,0.08,3.18,USD,Billed
7000000007,33,2025-01-26,2025-01-30,US00,US01,20,1,USW1,C00035,P00002,20,EA,1.57,0.12,27.63,0.08,29.84,USD,Open
7000000008,34,2025-02-22,2025-02-24,US00,US01,20,1,USC1,C00052,P00008,20,EA,7.1,0.08,130.64,0.065,139.13,USD,Delivered
7000000008,35,2024-10-15,2024-10-17,US00,US01,10,1,USC1,C00004,P00006,2,EA,4.57,0.07,8.5,0.08,9.18,USD,Open
7000000008,36,2025-01-13,2025-01-14,US00,US01,10,1,USW1,C00018,P00002,12,EA,1.57,0.06,17.71,0.08,19.13,USD,Open
7000000009,37,2025-05-04,2025-05-07,US00,US01,20,2,USW1,C00042,P00004,4,EA,3.99,0.09,14.52,0.065,15.46,USD,Open
7000000009,38,2024-08-18,2024-08-20,US00,US01,20,1,USW1,C00036,P00009,2,EA,3.2,0.12,5.63,0.08,6.08,USD,Billed
7000000009,39,2024-02-10,2024-02-10,US00,US01,20,1,USC1,C00070,P00014,3,EA,7.66,0.03,22.29,0.05,23.4,USD,Billed
7000000010,40,2024-01-28,2024-01-31,US00,US01,10,1,USE1,C00006,P00005,6,EA,8.36,0.08,46.15,0.05,48.46,USD,Delivered
7000000010,41,2024-05-14,2024-05-17,US00,US01,10,2,USC1,C00020,P00004,3,EA,3.99,0.09,10.89,0.065,11.6,USD,Billed
7000000010,42,2024-07-19,2024-07-22,US00,US01,20,2,USW1,C00073,P00003,6,EA,11.02,0.04,63.48,0.065,67.61,USD,Billed
7000000011,43,2024-02-02,2024-02-02,US00,US01,10,1,USW1,C00078,P00001,5,EA,6.55,0.16,27.51,0.09,29.99,USD,Billed
7000000011,44,2024-02-17,2024-02-17,US00,US01,20,2,USW1,C00075,P00014,15,EA,7.66,0.07,106.86,0.05,112.2,USD,Delivered
7000000011,45,2025-05-17,2025-05-18,US00,US01,10,1,USC1,C00026,P00015,2,EA,11.16,0.11,19.86,0.05,20.85,USD,Open
7000000012,46,2025-02-10,2025-02-11,US00,US01,10,2,USC1,C00077,P00005,3,EA,8.36,0.07,23.32,0.05,24.49,USD,Open
7000000012,47,2025-07-27,2025-07-29,US00,US01,20,1,USW1,C00048,P00004,6,EA,3.99,0.08,22.02,0.05,23.12,USD,Open
7000000012,48,2024-04-08,2024-04-10,US00,US01,20,2,USC1,C00014,P00009,4,EA,3.2,0.08,11.78,0.08,12.72,USD,Billed
7000000013,49,2025-06-30,2025-07-03,US00,US01,20,2,USW1,C00056,P00003,6,EA,11.02,0.14,56.86,0.065,60.56,USD,Open
7000000013,50,2025-09-04,2025-09-05,US00,US01,20,1,USE1,C00076,P00008,3,EA,7.1,0.09,19.38,0.07,20.74,USD,Open
7000000013,51,2025-04-06,2025-04-08,US00,US01,20,2,USW1,C00058,P00008,3,EA,7.1,0.11,18.96,0.065,20.19,USD,Billed
7000000014,52,2025-10-04,2025-10-06,US00,US01,10,2,USE1,C00064,P00001,4,EA,6.55,0.13,22.79,0.07,24.39,USD,Open
7000000014,53,2024-01-05,2024-01-09,US00,US01,20,2,USC1,C00034,P00003,3,EA,11.02,0.19,26.78,0.07,28.65,USD,Billed
7000000014,54,2024-08-05,2024-08-06,US00,US01,10,1,USC1,C00067,P00009,12,EA,3.2,0.04,36.86,0.065,39.26,USD,Open
7000000015,55,2025-05-17,2025-05-20,US00,US01,10,2,USC1,C00063,P00011,20,EA,9.57,0.05,181.83,0.09,198.19,USD,Delivered
7000000015,56,2025-02-01,2025-02-04,US00,US01,10,1,USW1,C00063,P00013,10,EA,10.86,0.06,102.08,0.08,110.25,USD,Billed
7000000015,57,2025-01-27,2025-01-29,US00,US01,20,2,USW1,C00052,P00014,5,EA,7.66,0.17,31.79,0.065,33.86,USD,Delivered
7000000016,58,2024-07-25,2024-07-29,US00,US01,20,2,USW1,C00068,P00001,8,EA,6.55,0.12,46.11,0.07,49.34,USD,Delivered
7000000016,59,2024-01-15,2024-01-16,US00,US01,20,2,USE1,C00059,P00003,3,EA,11.02,0.16,27.77,0.07,29.71,USD,Billed
7000000016,60,2025-07-07,2025-07-08,US00,US01,10,1,USE1,C00025,P00010,6,EA,11.67,0.0,70.02,0.07,74.92,USD,Billed
7000000017,61,2025-04-05,2025-04-08,US00,US01,20,1,USE1,C00062,P00012,6,EA,11.35,0.12,59.93,0.07,64.13,USD,Open
7000000017,62,2025-07-28,2025-08-01,US00,US01,10,2,USE1,C00030,P00014,8,EA,7.66,0.12,53.93,0.07,57.71,USD,Delivered
7000000017,63,2024-08-28,2024-08-29,US00,US01,20,1,USE1,C00069,P00015,5,EA,11.16,0.09,50.78,0.065,54.08,USD,Delivered
